year,State,Population,Violent_Crime_Total,Murder_Nonnegligent_Manslaughter,Legacy_Rape,Revised_Rape,Robbery,Aggravated_Assault,State,Population,Property_Crime_Total,Burglary,Larceny_Theft,Motor_Vehicle_Theft,State,Population,Violent_Crime_Rate,Murder_Nonnegligent_Manslaughter_Rate,Legacy_Rape_Rate,Revised_Rape_Rate,Robbery_Rate,Aggravated_Assault_Rate,State,Population,Property_Crime_Rate,Burglary_Rate,Larceny_Theft_Rate,Motor_Vehicle_Theft_Rate
2007,South Carolina,"4,407,709","34,630",364,"1,773",NA,"6,354","26,139",South Carolina,"4,407,709","189,304","45,398","126,802","17,104",South Carolina,"4,407,709",785.7,8.3,40.2,NA,144.2,593,South Carolina,"4,407,709","4,294.8","1,030.0","2,876.8",388
2007,South Dakota,"796,214","1,926",31,433,NA,118,"1,344",South Dakota,"796,214","13,829","2,647","10,398",784,South Dakota,"796,214",241.9,3.9,54.4,NA,14.8,168.8,South Dakota,"796,214","1,736.8",332.4,"1,305.9",98.5
2007,Tennessee,"6,156,719","46,482",405,"2,201",NA,"11,033","32,843",Tennessee,"6,156,719","252,342","61,817","168,807","21,718",Tennessee,"6,156,719",755,6.6,35.7,NA,179.2,533.4,Tennessee,"6,156,719","4,098.6","1,004.1","2,741.8",352.8
2007,Texas,"23,904,380","122,014","1,419","8,460",NA,"38,778","73,357",Texas,"23,904,380","985,421","228,320","663,101","94,000",Texas,"23,904,380",510.4,5.9,35.4,NA,162.2,306.9,Texas,"23,904,380","4,122.3",955.1,"2,774.0",393.2
2007,Utah,"2,645,330","6,347",59,935,NA,"1,425","3,928",Utah,"2,645,330","93,082","15,594","68,573","8,915",Utah,"2,645,330",239.9,2.2,35.3,NA,53.9,148.5,Utah,"2,645,330","3,518.7",589.5,"2,592.2",337
2007,Vermont,"621,254",802,13,128,NA,79,582,Vermont,"621,254","14,702","3,200","10,853",649,Vermont,"621,254",129.1,2.1,20.6,NA,12.7,93.7,Vermont,"621,254","2,366.5",515.1,"1,747.0",104.5
2007,Virginia,"7,712,091","21,035",415,"1,793",NA,"7,696","11,131",Virginia,"7,712,091","191,763","32,028","145,634","14,101",Virginia,"7,712,091",272.8,5.4,23.2,NA,99.8,144.3,Virginia,"7,712,091","2,486.5",415.3,"1,888.4",182.8
2007,Washington,"6,468,424","21,768",174,"2,653",NA,"6,079","12,862",Washington,"6,468,424","261,776","52,874","170,782","38,120",Washington,"6,468,424",336.5,2.7,41,NA,94,198.8,Washington,"6,468,424","4,047.0",817.4,"2,640.2",589.3
2007,West Virginia,"1,812,035","5,016",65,388,NA,847,"3,716",West Virginia,"1,812,035","45,620","10,822","31,321","3,477",West Virginia,"1,812,035",276.8,3.6,21.4,NA,46.7,205.1,West Virginia,"1,812,035","2,517.6",597.2,"1,728.5",191.9
2007,Wisconsin,"5,601,640","16,330",185,"1,227",NA,"5,480","9,438",Wisconsin,"5,601,640","159,305","27,890","117,957","13,458",Wisconsin,"5,601,640",291.5,3.3,21.9,NA,97.8,168.5,Wisconsin,"5,601,640","2,843.9",497.9,"2,105.8",240.3
2007,Wyoming,"522,830","1,344",21,172,NA,84,"1,067",Wyoming,"522,830","15,053","2,365","11,875",813,Wyoming,"522,830",257.1,4,32.9,NA,16.1,204.1,Wyoming,"522,830","2,879.1",452.3,"2,271.3",155.5
2007,United States-Total,"301,621,157","1,422,970","17,128","92,160",NA,"447,324","866,358",United States-Total,"301,621,157","9,882,212","2,190,198","6,591,542","1,100,472",United States-Total,"301,621,157",471.8,5.7,30.6,NA,148.3,287.2,United States-Total,"301,621,157","3,276.4",726.1,"2,185.4",364.9
