"","year","State","Population","Violent_Crime_Total","Murder_Nonnegligent_Manslaughter","Legacy_Rape","Revised_Rape","Robbery","Aggravated_Assault","State.1","Population.1","Property_Crime_Total","Burglary","Larceny_Theft","Motor_Vehicle_Theft","State.2","Population.2","Violent_Crime_Rate","Murder_Nonnegligent_Manslaughter_Rate","Legacy_Rape_Rate","Revised_Rape_Rate","Robbery_Rate","Aggravated_Assault_Rate","State.3","Population.3","Property_Crime_Rate","Burglary_Rate","Larceny_Theft_Rate","Motor_Vehicle_Theft_Rate"
"1003",2013,"Indiana","6,570,713","23,627","357","1,623","2,241","7,114","13,915","Indiana","6,570,713","187,472","42,754","130,534","14,184","Indiana","6,570,713","359.6",5.4,24.7,34.1,NA,NA,"Indiana","6,570,713","2,853.1","650.7","1,986.6",NA
"1004",2013,"Iowa","3,092,341","8,443","41","873","1,133","937","6,332","Iowa","3,092,341","67,976","15,918","47,803","4,255","Iowa","3,092,341","273",1.3,28.2,36.6,NA,NA,"Iowa","3,092,341","2,198.2","514.8","1,545.9","137.6"
"1005",2013,"Kansas","2,895,801","9,928","117","1,003","1,295","1,339","7,177","Kansas","2,895,801","85,704","17,476","61,557","6,671","Kansas","2,895,801","342.8",4,34.6,44.7,NA,NA,"Kansas","2,895,801","2,959.6","603.5","2,125.7",NA
"1006",2013,"Kentucky","4,399,583","9,280","172","951","1,646","3,247","4,215","Kentucky","4,399,583","104,448","26,331","72,048","6,069","Kentucky","4,399,583","210.9",3.9,21.6,37.4,NA,NA,"Kentucky","4,399,583","2,374.0","598.5","1,637.6",NA
"1007",2013,"Louisiana","4,629,284","24,127","494","1,248","1,763","5,539","16,331","Louisiana","4,629,284","165,679","41,214","115,300","9,165","Louisiana","4,629,284","521.2",10.7,27,38.1,NA,NA,"Louisiana","4,629,284","3,578.9","890.3","2,490.7",NA
"1008",2013,"Maine","1,328,702","1,761","24","366","495","335","907","Maine","1,328,702","30,454","6,480","23,063","911","Maine","1,328,702","132.5",1.8,27.5,37.3,NA,NA,"Maine","1,328,702","2,292.0","487.7","1,735.8",NA
"1009",2013,"Maryland","5,938,737","28,235","384","1,179","1,679","10,048","16,124","Maryland","5,938,737","157,918","31,950","112,551","13,417","Maryland","5,938,737","475.4",6.5,19.9,28.3,NA,NA,"Maryland","5,938,737","2,659.1","538","1,895.2",NA
"1010",2013,"Massachusetts","6,708,874","27,264","138","1,722","2,303","6,705","18,118","Massachusetts","6,708,874","137,274","30,716","97,437","9,121","Massachusetts","6,708,874","406.4",2.1,25.7,34.3,NA,NA,"Massachusetts","6,708,874","2,046.2","457.8","1,452.4",NA
"1011",2013,"Michigan","9,898,193","44,757","625","4,506","6,785","10,093","27,254","Michigan","9,898,193","230,135","56,256","149,794","24,085","Michigan","9,898,193","452.2",6.3,45.5,68.5,NA,NA,"Michigan","9,898,193","2,325.0","568.3","1,513.3","243.3"
"1012",2013,"Minnesota","5,422,060","12,710","114","1,453","2,014","3,674","6,908","Minnesota","5,422,060","131,193","22,713","100,514","7,966","Minnesota","5,422,060","234.4",2.1,26.8,37.1,NA,NA,"Minnesota","5,422,060","2,419.6","418.9","1,853.8",NA
